,گروه کالا1,گروه کالا2,support,ضریب اطمینان,lift
33,['200062.0'],['200051.0'],0.010869565217391304,0.1,4.6000000000000005
34,['200051.0'],['200066.0'],0.010869565217391304,0.5,23.0
35,['200066.0'],['200051.0'],0.010869565217391304,0.5,23.0
36,['200051.0'],['200068.0'],0.010869565217391304,0.5,5.75
37,['200068.0'],['200051.0'],0.010869565217391304,0.125,5.75
38,['200052.0'],['200053.0'],0.021739130434782608,1.0,30.666666666666668
39,['200053.0'],['200052.0'],0.021739130434782608,0.6666666666666666,30.666666666666664
40,['200052.0'],['200057.0'],0.010869565217391304,0.5,15.333333333333334
41,['200057.0'],['200052.0'],0.010869565217391304,0.3333333333333333,15.333333333333332
42,['200052.0'],['200063.0'],0.010869565217391304,0.5,5.75
43,['200063.0'],['200052.0'],0.010869565217391304,0.125,5.75
44,['200052.0'],['200070.0'],0.010869565217391304,0.5,2.1904761904761907
45,['200052.0'],['200071.0'],0.010869565217391304,0.5,4.181818181818182
46,['200071.0'],['200052.0'],0.010869565217391304,0.0909090909090909,4.181818181818182
